% Each event is a 'snapshot' of detector, it consists of data taken
% from all 4482 wires: energy and relative time.
% 
% Event is written only when hodoscope detects particle. Relative time
% is difference between time when straw tube detected energy and time of
% hodoscope.
% 
% Data in train.csv is organized as following:
% 
% event_id - zero-based index of event
% wire_id - zero-based index of wire
% global_id - zero-based identifier for each entry in file
% energy - energy deposited at wire 
% relative_time = ( time of readout - hodoscope time)
% label (0 = not activated, 1=signal hit, 2=background hit)
% Wire with zero energy deposition is not activated.
@RELATION "COMET tracking MC"

@ATTRIBUTE global_id INTEGER
@ATTRIBUTE event_id INTEGER
@ATTRIBUTE wire_id INTEGER
@ATTRIBUTE energy_deposit REAL
@ATTRIBUTE relative_time REAL
@ATTRIBUTE label INTEGER

@DATA
761940.0,170.0,0.0,0.0,0.0,0.0
761941.0,170.0,1.0,0.0,0.0,0.0
761942.0,170.0,2.0,0.0,0.0,0.0
761943.0,170.0,3.0,0.0,0.0,0.0
761944.0,170.0,4.0,5.03886814637e-07,906.081985941,0.0
761945.0,170.0,5.0,1.87897378003e-06,341.030602013,0.0
761946.0,170.0,6.0,1.85687360588e-06,338.372669731,0.0
761947.0,170.0,7.0,0.0,0.0,0.0
761948.0,170.0,8.0,0.0,0.0,0.0
761949.0,170.0,9.0,0.0,0.0,0.0
761950.0,170.0,10.0,0.0,0.0,0.0
761951.0,170.0,11.0,0.0,0.0,0.0
761952.0,170.0,12.0,0.0,0.0,0.0
761953.0,170.0,13.0,0.0,0.0,0.0
761954.0,170.0,14.0,0.0,0.0,0.0
761955.0,170.0,15.0,0.0,0.0,0.0
761956.0,170.0,16.0,4.02453344352e-05,1108.34144433,0.0
761957.0,170.0,17.0,0.0,0.0,0.0
761958.0,170.0,18.0,0.0,0.0,0.0
761959.0,170.0,19.0,0.0,0.0,0.0
761960.0,170.0,20.0,0.0,0.0,0.0
761961.0,170.0,21.0,0.0,0.0,0.0
761962.0,170.0,22.0,0.0,0.0,0.0
761963.0,170.0,23.0,0.0,0.0,0.0
761964.0,170.0,24.0,0.0,0.0,0.0
761965.0,170.0,25.0,0.0,0.0,0.0
761966.0,170.0,26.0,0.0,0.0,0.0
